r/lambda,particle loss,particle ref index,background ref index,background loss,short background width,short background ref index,short background loss,Force
5,0.005,3,3.1,0.005,20,1.5,0.005,0
4.6,0.001,2.8,2.9,0.001,18,1.1,0.001,0
4,0.005,3,3.1,0.005,20,1.5,0.005,0
3.6,0.002,2.6,2.7,0.002,18,1.2,0.002,0
3.35,0.002,2.35,2.45,0.002,18.5,1.2,0.002,0
3,0.001,2,2.1,0.001,18,1.1,0.001,0
2.8,0.002,1.8,1.9,0.002,18.5,1.2,0.002,0
2.6,0.003,1.6,1.7,0.003,20,1.5,0.003,1
2.35,0.003,1.35,1.45,0.003,19,1.3,0.003,0
2,0,2,2.1,0,18.5,1.2,0.002,0
1.8,0,1.8,1.9,0,19,1.3,0.003,0
1.7,0,1.7,1.8,0,18,1.1,0.001,0
1.6,0,1.6,1.7,0,19.5,1.4,0.004,1
1.5,0,1.5,1.6,0,18.5,1.2,0.002,0
1.35,0,1.35,1.45,0,19.5,1.4,0.004,1
1.2,0,1.2,1.3,0,18,1.1,0.001,0
1,0,2,2.1,0,19,1.3,0.003,0
5,0.005,3,3.1,0.05,20,1.2,0.005,0
4.6,0.001,2.8,2.9,0.03,18,0.8,0.001,0
4,0.005,3,3.1,0.05,20,1.2,0.005,0
3.6,0.002,2.6,2.7,0.035,18,0.9,0.002,0
3.35,0.002,2.35,2.45,0.035,18.5,0.9,0.002,0
3,0.001,2,2.1,0.03,18,0.8,0.001,0
2.8,0.002,1.8,1.9,0.035,18.5,0.9,0.002,0
2.6,0.003,1.6,1.7,0.04,20,1,0.003,0
2.35,0.003,1.35,1.45,0.04,19,1,0.003,0
2,0,2,2.1,0.045,18.5,0.9,0.002,0
1.8,0,1.8,1.9,0.04,19,1,0.003,0
1.7,0,1.7,1.8,0.03,18,0.8,0.001,0
1.6,0,1.6,1.7,0.045,19.5,1.1,0.004,0
1.5,0,1.5,1.6,0.035,18.5,0.9,0.002,0
1.35,0,1.35,1.45,0.045,19.5,1.1,0.004,0
1.2,0,1.2,1.3,0.03,18,0.8,0.001,0
1,0,2,2.1,0.04,19,1,0.003,0
5,0.005,3,3.1,0.005,20,1.2,0.05,0
4.6,0.001,2.8,2.9,0.001,18,0.8,0.01,0
4,0.005,3,3.1,0.005,20,1.2,0.05,0
3.6,0.002,2.6,2.7,0.002,18.5,0.9,0.02,0
3.35,0.002,2.35,2.45,0.002,18.5,0.9,0.02,0
3,0.001,2,2.1,0.001,18,0.8,0.01,0
2.8,0.002,1.8,1.9,0.002,18.5,0.9,0.02,0
2.6,0.003,1.6,1.7,0.003,20,1,0.03,0
2.35,0.003,1.35,1.45,0.003,19,1,0.03,0
2,0,2,2.1,0,18.5,0.9,0.02,0
1.8,0,1.8,1.9,0,19,1,0.03,0
1.7,0,1.7,1.8,0,18,0.8,0.01,0
1.6,0,1.6,1.7,0,19.5,1.1,0.04,0
1.5,0,1.5,1.6,0,18.5,0.9,0.02,0
1.35,0,1.35,1.45,0,19.5,1.1,0.04,0
1.2,0,1.2,1.3,0,18,0.8,0.01,0
1,0,2,2.1,0,19,1,0.03,0
5,0.005,3,3.1,0.005,15,1.2,0.005,0
4.6,0.001,2.8,2.9,0.001,17,0.8,0.001,0
4,0.005,3,3.1,0.005,15,1.2,0.005,0
3.6,0.002,2.6,2.7,0.002,16.5,0.9,0.002,0
3.35,0.002,2.35,2.45,0.002,16.5,0.9,0.002,0
3,0.001,2,2.1,0.001,17,0.8,0.001,0
2.8,0.002,1.8,1.9,0.002,16.5,0.9,0.002,0
2.6,0.003,1.6,1.7,0.003,16,1,0.003,0
2.35,0.003,1.35,1.45,0.003,16,1,0.003,0
2,0,2,2.1,0,16.5,0.9,0.002,0
1.8,0,1.8,1.9,0,16,1,0.003,0
1.7,0,1.7,1.8,0,17,0.8,0.001,0
1.6,0,1.6,1.7,0,15.5,1.1,0.004,0
